centroid_x,centroid_y,centroid_z,dim_x,dim_y,dim_z,volume,ijk,xc,yc,zc,xinc,yinc,zinc,nx,ny,nz,xmorig,ymorig,zmorig,zone,product,cog,density,class,zona,ni_ok_fi,co_ok_fi,fe_ok_fi,mgo_ok_f,sio2_ok_,smratio,finsolprod090135_def,finsolprod090135_comb,finsolprod090135_val,basicity,econ_val_usd,sum_econ_val_usd
Variable descriptions:,,,,,,,Datamine field : ijk,Datamine field : xc,Datamine field : yc,Datamine field : zc,Datamine field : xinc,Datamine field : yinc,Datamine field : zinc,Datamine field : nx,Datamine field : ny,Datamine field : nz,Datamine field : xmorig,Datamine field : ymorig,Datamine field : zmorig,Datamine field : zone,Datamine field : product,Datamine field : cog,Datamine field : density,Datamine field : class,Datamine field : zone_int,Datamine field : ni_ok_fi,Datamine field : co_ok_fi,Datamine field : fe_ok_fi,Datamine field : mgo_ok_f,Datamine field : sio2_ok_,Datamine field : smratio,29-Oct-2025,29-Oct-2025,,,,sum_econ_val_usd
Variable types:,,,,,,,float,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,name,float,float,float,float,float,float,float,name,name,double,double,double,float
572571.250000,9059371.250000,227.500000,12.500000,12.500000,1.000000,156.250000,270932.000000,572571.250000,9059371.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,30.300000,measured,34.000000,8.137495,1.063543,370.217109,321.244939,369.376679,26.901101,waste,obws,59.000000,11.180063,-44.000000,-44.000000
572571.250000,9059383.750000,227.500000,12.500000,12.500000,1.000000,156.250000,271167.000000,572571.250000,9059384.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,29.020000,measured,31.000000,7.192907,1.012903,373.654118,281.701512,319.155252,24.591935,waste,obws,49.000000,10.516489,-37.000000,-37.000000
572571.250000,9059396.250000,226.500000,12.500000,12.500000,1.000000,156.250000,271401.000000,572571.250000,9059396.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,23.160000,measured,24.000000,6.179516,0.858704,308.285413,212.304764,238.427748,19.114749,waste,obws,38.000000,8.826379,-28.000000,-28.000000
572571.250000,9059408.750000,225.500000,12.500000,12.500000,1.000000,156.250000,271635.000000,572571.250000,9059409.000000,225.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,19.160000,measured,18.000000,5.599045,0.800388,289.883257,146.801196,169.485506,19.089805,ob,obws,28.000000,6.282287,-22.000000,-22.000000
572571.250000,9059421.250000,224.500000,12.500000,12.500000,1.000000,156.250000,271869.000000,572571.250000,9059421.000000,224.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,17.300000,measured,17.000000,4.674447,0.641204,245.228577,148.178930,167.818323,15.550759,waste,obws,27.000000,5.969966,-19.000000,-19.000000
572571.250000,9059433.750000,224.500000,12.500000,12.500000,1.000000,156.250000,272104.000000,572571.250000,9059434.000000,224.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,13.440000,measured,13.000000,3.955073,0.499134,191.952758,115.119310,128.963313,9.859583,ob,obws,19.000000,5.226820,-21.000000,-21.000000
572571.250000,9059446.250000,223.500000,12.500000,12.500000,1.000000,156.250000,272338.000000,572571.250000,9059446.000000,223.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,9.720000,measured,11.000000,2.390758,0.254624,103.725159,113.646900,126.030232,6.675402,waste,obws,17.000000,3.972857,-15.000000,-15.000000
572583.750000,9059196.250000,214.500000,12.500000,12.500000,1.000000,156.250000,307814.000000,572583.750000,9059196.000000,214.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,[ni_ok]<=0.7,3.860000,measured,4.000000,0.959702,0.109655,48.242701,35.976446,45.271038,3.847255,ob,obws,6.000000,1.251452,-6.000000,-6.000000
572583.750000,9059208.750000,215.500000,12.500000,12.500000,1.000000,156.250000,308050.000000,572583.750000,9059209.000000,215.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,[ni_ok]<=0.7,7.720000,measured,8.000000,1.832655,0.224435,95.959790,73.226085,89.870295,7.318295,ob,obws,12.000000,2.587213,-12.000000,-12.000000
572583.750000,9059221.250000,215.500000,12.500000,12.500000,1.000000,156.250000,308285.000000,572583.750000,9059221.000000,215.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,5.860000,measured,7.000000,1.281373,0.149264,61.343475,67.623562,80.246509,4.863999,waste,obws,11.000000,2.155262,-9.000000,-9.000000
